ID,Movie Names,Year,Genere,Rating
290,The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action",8.5
291,Little Man,2006,"Comedy, Crime",5.9
292,Cinderella,1950,"Family, Fantasy, Animation, Romance",7
293,The Deepest Breath,2023,Documentary,8
294,Up,2009,"Animation, Comedy, Family, Adventure",7.9
295,The Ice Age Adventures of Buck Wild,2022,"Animation, Comedy, Adventure, Family",6.7
296,Law Abiding Citizen,2009,"Drama, Crime, Thriller",7.4
297,Raya and the Last Dragon,2021,"Animation, Family, Fantasy, Action, Adventure",7.9
298,A Quiet Place Part II,2021,"Science Fiction, Thriller, Horror",7.5
299,The Nun II,2023,"Horror, Mystery, Thriller",0
300,Transformers: The Last Knight,2017,"Action, Adventure, Science Fiction",6.1
301,The Maze Runner,2014,"Action, Mystery, Science Fiction, Thriller",7.2
302,Celebrity Sex Tape,2012,Comedy,4.5
303,Perfect Addiction,2023,"Drama, Romance",6.6
304,The Amazing Spider-Man,2012,"Action, Adventure, Fantasy",6.7
305,The Ghosts of Monday,2022,"Horror, Thriller",4.4
306,Project Gemini,2022,"Science Fiction, Horror",5.8
307,Terminator Genisys,2015,"Science Fiction, Action, Thriller, Adventure",5.9
308,Palmer,2021,Drama,8.1
309,Sanctuary,2023,"Drama, Thriller",6.3
310,Free Guy,2021,"Comedy, Adventure, Science Fiction",7.6
311,Operation Fortune: Ruse de Guerre,2023,"Action, Comedy, Adventure, Thriller",6.6
312,Man of Steel,2013,"Action, Adventure, Science Fiction",6.6
313,Twilight,2008,"Fantasy, Drama, Romance",6.3
314,The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",7.8
315,Sonic the Hedgehog,2020,"Action, Science Fiction, Comedy, Family",7.4
316,Five Nights at Freddy's,2023,"Horror, Thriller",0
317,Nymphomaniac: Vol. II,2013,"Drama, Mystery",6.8
318,Spider-Man 3,2007,"Fantasy, Action, Adventure",6.4
319,Frozen,2013,"Animation, Family, Adventure, Fantasy",7.2
320,Morbius,2022,"Action, Science Fiction, Fantasy",6.1
321,Assassin Club,2023,"Action, Mystery, Thriller",6.2
322,The Boss Baby: Christmas Bonus,2022,"Animation, Family, Adventure, TV Movie",6.8
323,Guillermo del Toro's Pinocchio,2022,"Animation, Fantasy, Drama, Music",8.2
324,Beauty and the Beast,1991,"Romance, Family, Animation, Fantasy",7.7
325,Boyka: Undisputed IV,2016,"Action, Drama",7.1
326,Superfast!,2015,"Comedy, Action",5
327,Eternals,2021,"Science Fiction, Action, Adventure",6.9
328,The Emperor's New Groove,2000,"Adventure, Animation, Comedy, Family, Fantasy",7.5
329,A Deadly Mistake,2023,"TV Movie, Thriller",6.1
330,Hex,2022,"Action, Horror, Thriller",5.9
331,Marvel Rising: Battle of the Bands,2019,"Family, Animation, Action, Comedy, Science Fiction",6.8
332,Below Her Mouth,2017,"Drama, Romance",6.8
333,Fear the Night,2023,"Action, Thriller",6.4
334,Lionel Messi: Destiny,2023,Documentary,8.3
335,Jungle Cruise,2021,"Action, Adventure, Fantasy",7.4
336,Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action",7.3
337,The Tomorrow War,2021,"Action, Science Fiction, Adventure",7.6
338,The Equalizer,2014,"Thriller, Action, Crime",7.2
339,American Sniper,2014,"War, Action",7.4
340,Mission: Impossible,1996,"Adventure, Action, Thriller",7
341,A Haunted House 2,2014,"Comedy, Horror",6.1
342,Barbie: Epic Road Trip,2022,"Comedy, Family, Animation",6.9
343,Scary Movie,2000,Comedy,6.3
344,What Men Want,2019,"Comedy, Romance",6.2
